setsize,orient_1,orient_2,position_1,position_2,contrast,test,testorient,correctresp,subject,resp,respRT,conf,confRT
2,340,10,2,3,0.5,4,NaN,5,2,5,1.68784213066101,2,0.81578516960144
1,338,,2,,0.8,2,338,1,2,NaN,0,1,1.24619913101196
1,342,,1,,0.5,4,NaN,5,2,5,0.992121934890747,3,0.552073001861572
2,22,78,2,3,0.5,2,22,4,2,1,2.17429995536804,3,0.486334085464478
2,8,344,3,4,0.8,3,8,4,2,4,2.63248085975647,3,1.13658905029297
1,6,,4,,0.5,4,6,4,2,4,2.00666689872742,3,0.911062002182007
1,112,,4,,0.8,4,112,3,2,2,2.41694784164429,2,1.99481511116028
1,4,,4,,0.8,3,NaN,5,2,5,1.23115682601929,2,0.423151016235352
2,342,98,2,4,0.8,1,NaN,5,2,5,1.33714985847473,2,0.689179182052612
2,86,86,2,3,0.5,1,NaN,5,2,5,0.967367887496948,2,0.479416131973267
2,94,16,1,3,0.8,4,NaN,5,2,5,1.24973201751709,2,0.601632118225098
1,108,,2,,0.5,2,108,3,2,2,2.36780118942261,2,0.583688974380493
2,352,356,1,2,0.5,3,NaN,5,2,5,0,2,0.594108104705811
1,72,,3,,0.8,3,72,2,2,2,2.60001397132874,3,1.53600096702576
2,82,110,1,4,0.8,2,NaN,5,2,5,1.66602110862732,2,0.153923988342285
1,86,,2,,0.5,3,NaN,5,2,5,1.60065412521362,2,0.840441942214966
1,20,,2,,0.8,1,NaN,5,2,5,1.41824507713318,3,0.546571969985962
1,98,,1,,0.8,2,NaN,5,2,5,0.546922206878662,3,0.485968112945557
2,82,104,1,3,0.8,3,104,3,2,3,2.03150200843811,2,0.699831962585449
1,12,,3,,0.5,2,NaN,5,2,5,1.30973196029663,3,0.485883951187134
1,16,,4,,0.8,2,NaN,5,2,5,2.99479794502258,3,0.92801308631897
1,74,,4,,0.5,1,NaN,5,2,5,1.46214199066162,2,0.606247901916504
1,356,,1,,0.8,1,356,1,2,5,2.80052709579468,3,1.16033291816711
2,18,354,2,3,0.8,3,354,1,2,1,1.66268491744995,3,0.374538898468018
2,110,74,1,2,0.8,3,NaN,5,2,5,1.06450796127319,3,0.464493989944458
2,10,10,1,3,0.8,4,NaN,5,2,5,1.71883511543274,2,1.24691390991211
1,102,,3,,0.8,3,102,3,2,3,2.43290996551514,1,0.953176975250244
2,76,18,2,3,0.8,3,18,4,2,1,2.43121004104614,2,0.743115901947021
1,68,,1,,0.5,4,NaN,5,2,5,2.76122188568115,3,1.15354704856873
2,78,352,1,4,0.8,2,NaN,5,2,5,1.19142699241638,2,0.703465938568115
2,86,342,1,4,0.5,4,342,1,2,3,2.41786503791809,2,1.16595196723938
1,108,,1,,0.5,2,NaN,5,2,5,1.42381310462952,3,0.503761053085327
1,10,,2,,0.5,2,10,4,2,4,2.39417695999146,3,0.694211006164551
1,94,,1,,0.8,3,NaN,5,2,5,1.75249195098877,3,1.08851718902588
2,350,100,2,3,0.5,1,NaN,5,2,5,1.37836599349976,2,0.538376092910767
2,22,340,3,4,0.5,2,NaN,5,2,5,1.31254601478577,3,0.45672607421875
2,350,352,2,4,0.8,4,352,1,2,1,2.04248905181885,3,0.518919944763184
2,100,84,2,4,0.8,3,NaN,5,2,2,1.84890699386597,NaN,0
